Name,Year,Genre,NASales,EUSales,GlobalSales
Wii Sports,2006,Sports,41.49,29.02,82.74
Super Mario Bros.,1985,Platform,29.08,3.58,40.24
Mario Kart Wii,2008,Racing,15.85,12.88,35.82
Wii Sports Resort,2009,Sports,15.75,11.01,33
Pokemon Red/Pokemon Blue,1996,Role-Playing,11.27,8.89,31.37
Tetris,1989,Puzzle,23.2,2.26,30.26
New Super Mario Bros.,2006,Platform,11.38,9.23,30.01
Wii Play,2006,Misc,14.03,9.2,29.02
New Super Mario Bros. Wii,2009,Platform,14.59,7.06,28.62
Duck Hunt,1984,Shooter,26.93,0.63,28.31
Nintendogs,2005,Simulation,9.07,11,24.76
Mario Kart DS,2005,Racing,9.81,7.57,23.42
Pokemon Gold/Pokemon Silver,1999,Role-Playing,9,6.18,23.1
Wii Fit,2007,Sports,8.94,8.03,22.72
Wii Fit Plus,2009,Sports,9.09,8.59,22
Kinect Adventures!,2010,Misc,14.97,4.94,21.82
Grand Theft Auto V,2013,Action,7.01,9.27,21.4
Grand Theft Auto: San Andreas,2004,Action,9.43,0.4,20.81
Super Mario World,1990,Platform,12.78,3.75,20.61
Brain Age: Train Your Brain in Minutes a Day,2005,Misc,4.75,9.26,20.22
Pokemon Diamond/Pokemon Pearl,2006,Role-Playing,6.42,4.52,18.36
Super Mario Land,1989,Platform,10.83,2.71,18.14
Super Mario Bros. 3,1988,Platform,9.54,3.44,17.28
Grand Theft Auto V,2013,Action,9.63,5.31,16.38
Grand Theft Auto: Vice City,2002,Action,8.41,5.49,16.15
Pokemon Ruby/Pokemon Sapphire,2002,Role-Playing,6.06,3.9,15.85
Pokemon Black/Pokemon White,2010,Role-Playing,5.57,3.28,15.32
Brain Age 2: More Training in Minutes a Day,2005,Puzzle,3.44,5.36,15.3
Gran Turismo 3: A-Spec,2001,Racing,6.85,5.09,14.98
Call of Duty: Modern Warfare 3,2011,Shooter,9.03,4.28,14.76
Pokémon Yellow: Special Pikachu Edition,1998,Role-Playing,5.89,5.04,14.64
Call of Duty: Black Ops,2010,Shooter,9.67,3.73,14.64
Pokemon X/Pokemon Y,2013,Role-Playing,5.17,4.05,14.35
Call of Duty: Black Ops 3,2015,Shooter,5.77,5.81,14.24
Call of Duty: Black Ops II,2012,Shooter,4.99,5.88,14.03
Call of Duty: Black Ops II,2012,Shooter,8.25,4.3,13.73
Call of Duty: Modern Warfare 2,2009,Shooter,8.52,3.63,13.51
Call of Duty: Modern Warfare 3,2011,Shooter,5.54,5.82,13.46
Grand Theft Auto III,2001,Action,6.99,4.51,13.1
Super Smash Bros. Brawl,2008,Fighting,6.75,2.61,13.04
Call of Duty: Black Ops,2010,Shooter,5.98,4.44,12.73
Animal Crossing: Wild World,2005,Simulation,2.55,3.52,12.27
Mario Kart 7,2011,Racing,4.74,3.91,12.21
Halo 3,2007,Shooter,7.97,2.83,12.14
Grand Theft Auto V,2014,Action,3.8,5.81,11.98
Pokemon HeartGold/Pokemon SoulSilver,2009,Action,4.4,2.77,11.9
Super Mario 64,1996,Platform,6.91,2.85,11.89
Gran Turismo 4,2004,Racing,3.01,0.01,11.66
Super Mario Galaxy,2007,Platform,6.16,3.4,11.52
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,Role-Playing,4.23,3.37,11.33
Super Mario Land 2: 6 Golden Coins,1992,Adventure,6.16,2.04,11.18
Grand Theft Auto IV,2008,Action,6.76,3.1,11.02
Gran Turismo,1997,Racing,4.02,3.87,10.95
Super Mario 3D Land,2011,Platform,4.89,2.99,10.79
Gran Turismo 5,2010,Racing,2.96,4.88,10.77
Call of Duty: Modern Warfare 2,2009,Shooter,4.99,3.69,10.69
Grand Theft Auto IV,2008,Action,4.76,3.76,10.57
Super Mario All-Stars,1993,Platform,5.99,2.15,10.55
Pokemon FireRed/Pokemon LeafGreen,2004,Role-Playing,4.34,2.65,10.49
Super Mario 64,2004,Platform,5.08,3.11,10.42
Just Dance 3,2011,Misc,6.05,3.15,10.26
Call of Duty: Ghosts,2013,Shooter,6.72,2.63,10.21
Halo: Reach,2010,Shooter,7.03,1.98,9.88
Mario Kart 64,1996,Racing,5.55,1.94,9.87
New Super Mario Bros. 2,2012,Platform,3.66,3.07,9.82
Halo 4,2012,Shooter,6.63,2.36,9.76
Final Fantasy VII,1997,Role-Playing,3.01,2.47,9.72
Call of Duty: Ghosts,2013,Shooter,4.09,3.73,9.59
Just Dance 2,2010,Misc,5.84,2.89,9.52
